HomeworkType,Difficulty,Length,StudyHours,PreviousCompletionTime,Subject,StudentFocusLevel,SubmissionUrgency,TeacherClarity,ResourcesProvided,CompletionTime
MCQ,Medium,13,9.46,54,Literature,7,Medium,9,Partial,58.93
Coding,Hard,6,6.34,27,Programming,6,Medium,5,Full,32.7
Essay,Medium,17,1.21,63,Math,7,Medium,8,Partial,135.05
MCQ,Hard,8,5.58,37,Literature,5,Medium,10,Partial,47.59
Coding,Medium,8,4.5,102,History,7,Low,7,None,80.62
MCQ,Medium,19,3.98,150,Literature,7,Medium,10,None,130.66
MCQ,Easy,1,6.51,28,Programming,6,Medium,10,Partial,13.02
Coding,Hard,11,6.67,101,Programming,3,Medium,6,Full,108.0
Coding,Easy,14,8.07,74,Science,1,Medium,5,None,143.05
MCQ,Easy,3,6.84,22,Literature,3,Medium,7,None,22.09
MCQ,Medium,13,7.83,50,Literature,2,High,5,Partial,97.82
Coding,Hard,1,9.54,96,History,4,Medium,3,Partial,38.09
Essay,Hard,3,8.54,18,Programming,3,Low,7,None,35.58
MCQ,Easy,11,1.26,38,Math,9,High,7,Partial,55.44
MCQ,Medium,2,7.67,98,History,7,Low,5,Full,42.69
MCQ,Medium,18,2.1,25,Math,7,High,10,Full,82.64
Essay,Medium,13,4.42,127,Math,5,High,2,Full,113.21
Essay,Easy,13,3.12,135,History,1,Medium,3,None,228.89
Coding,Hard,13,4.98,71,Math,2,High,8,None,143.83
Essay,Medium,13,2.08,150,Literature,9,Low,10,None,119.51
MCQ,Medium,16,4.71,74,Programming,8,High,10,None,76.26
Essay,Hard,1,7.8,139,Literature,5,High,8,Partial,51.65
Coding,Hard,2,5.87,179,Science,3,Medium,10,Partial,66.73
Essay,Hard,16,9.22,75,Science,6,Low,7,None,112.3
Coding,Medium,1,7.67,31,Science,10,Low,5,None,23.93
MCQ,Medium,20,8.32,140,Literature,10,Low,5,Partial,107.34
Coding,Medium,6,7.75,27,Math,2,Medium,8,Partial,36.44
Coding,Easy,1,5.87,67,Science,7,Low,9,Full,31.85
MCQ,Hard,15,9.59,179,Science,9,High,2,None,128.58
MCQ,Hard,9,7.55,154,History,1,Medium,5,Full,131.52
Coding,Hard,11,7.61,72,History,3,Low,4,Partial,126.08
Coding,Hard,15,8.66,171,Programming,6,High,6,Full,103.83
MCQ,Hard,14,5.22,44,History,6,Low,1,Full,133.95
MCQ,Medium,4,5.9,51,Science,4,Medium,1,Partial,57.7
MCQ,Hard,5,9.47,86,Literature,10,High,6,None,49.56
Coding,Hard,9,2.13,137,Programming,9,Low,2,None,149.36
MCQ,Easy,12,7.58,150,Literature,9,Medium,7,Full,71.52
Essay,Hard,18,8.4,31,History,3,High,4,Partial,146.59
Essay,Medium,20,7.05,140,Science,6,Medium,7,Full,103.07
Essay,Hard,15,1.27,19,Science,10,High,1,Partial,158.18
MCQ,Medium,16,5.2,162,History,9,Medium,5,Full,103.08
Essay,Easy,1,5.31,112,Math,1,Low,10,None,44.45
Coding,Easy,12,5.34,43,History,10,Medium,3,None,70.22
Essay,Medium,17,9.9,60,Science,1,Low,7,None,163.83
Coding,Hard,16,2.08,52,Math,5,Low,7,Partial,187.41
Coding,Hard,18,7.82,21,History,2,Low,5,None,231.2
MCQ,Easy,2,6.67,85,History,6,Medium,4,None,40.98
Essay,Medium,20,4.39,88,Science,9,Medium,1,None,174.12
MCQ,Easy,8,8.75,134,Programming,5,Medium,9,None,66.31
Coding,Hard,9,7.61,131,Science,4,Low,7,Partial,108.39
Essay,Hard,7,7.55,148,Math,4,High,10,Partial,71.53
MCQ,Hard,19,7.67,58,History,3,Low,9,None,170.04
Essay,Easy,14,3.61,147,Science,1,High,1,None,239.25
Coding,Medium,19,6.54,44,Programming,10,High,5,None,100.47
Coding,Hard,1,2.5,17,History,2,High,10,Partial,8.13
MCQ,Hard,20,1.75,29,Literature,2,Medium,9,Full,200.27
MCQ,Hard,15,7.72,138,Programming,6,Medium,1,Full,133.78
Coding,Hard,2,8.54,157,Programming,5,High,2,Partial,69.72
MCQ,Medium,7,6.93,35,Programming,10,Low,5,Full,43.45
Coding,Easy,2,8.29,122,Literature,6,High,10,None,38.11
Coding,Hard,5,7.41,104,Math,2,High,3,Partial,82.65
MCQ,Easy,2,1.01,106,Science,10,High,7,Partial,38.41
Coding,Medium,3,9.87,176,Math,3,Low,7,Partial,73.4
Coding,Easy,9,4.89,27,Science,10,Medium,4,None,44.92
Coding,Easy,13,9.85,114,Programming,3,Medium,7,Full,77.35
Essay,Hard,2,5.54,118,Science,3,High,3,Partial,63.88
Coding,Easy,17,1.87,81,Math,4,Medium,10,Partial,115.42
Essay,Medium,8,6.42,82,History,9,Low,5,Full,45.86
Essay,Medium,20,1.51,103,Math,5,Medium,4,Full,212.95
Essay,Easy,6,5.88,51,Science,4,Low,7,Full,42.19
Essay,Medium,11,6.64,121,Math,8,Medium,5,Full,71.57
Essay,Easy,8,3.88,139,Math,7,Low,3,Full,87.19
Essay,Medium,16,9.36,67,Programming,1,Medium,9,Full,87.97
Essay,Medium,14,5.49,45,Science,2,High,1,Full,128.7
Essay,Easy,14,8.7,93,Programming,9,Medium,2,Full,59.93
Essay,Easy,13,9.42,147,Programming,2,Medium,2,Full,102.28
MCQ,Easy,3,6.16,106,History,4,Low,4,Full,39.88
Coding,Hard,4,4.5,119,Science,7,Low,9,Full,62.99
Essay,Hard,3,5.35,53,Science,10,Low,2,None,36.8
Essay,Medium,16,6.99,172,Science,1,Medium,3,Full,195.78
MCQ,Easy,13,8.14,79,Literature,10,High,7,Partial,48.35
Essay,Easy,4,6.49,129,History,1,Low,9,Full,49.49
Essay,Medium,16,5.38,119,Literature,10,High,3,Partial,112.98
Essay,Hard,1,8.13,135,History,8,Low,5,Full,45.22
MCQ,Easy,9,2.65,17,History,2,High,2,Partial,100.53
MCQ,Hard,20,8.37,77,Math,9,Medium,5,None,130.31
MCQ,Hard,11,4.16,158,History,4,Low,5,None,192.38
MCQ,Easy,3,6.17,103,Programming,1,High,2,Full,55.6
MCQ,Hard,3,3.49,178,Literature,4,High,6,Partial,70.67
Coding,Easy,2,4.38,63,Literature,8,Medium,4,Partial,23.03
Coding,Medium,9,8.34,145,Science,6,Medium,1,None,113.77
MCQ,Easy,1,8.74,54,Math,8,High,1,None,20.01
Coding,Easy,8,7.05,115,Programming,7,High,6,None,71.65
Essay,Medium,3,7.66,55,History,7,Low,9,Full,21.91
MCQ,Easy,2,9.24,81,Science,2,Medium,10,Partial,27.21
Essay,Medium,6,8.91,30,History,9,Low,10,Full,12.27
Essay,Hard,8,3.21,81,Math,9,Low,10,Full,59.61
MCQ,Hard,18,9.92,89,History,6,High,6,Partial,100.14
Essay,Hard,5,7.19,77,History,8,Medium,4,Full,42.47
Coding,Medium,10,8.39,133,History,4,High,2,None,106.71
Essay,Hard,10,3.94,61,History,8,Low,4,Full,83.69
Essay,Hard,6,3.6,170,Math,9,Medium,3,Partial,94.41
Essay,Hard,16,1.17,58,Science,2,Medium,10,None,265.33
Essay,Medium,20,6.98,148,Science,1,Medium,9,None,214.07
Essay,Easy,18,3.79,20,Literature,8,Medium,5,None,116.69
MCQ,Medium,17,4.9,19,Literature,1,Low,7,None,219.73
MCQ,Medium,18,2.11,153,Literature,1,Medium,9,None,302.17
MCQ,Hard,17,9.11,158,History,9,Low,10,Partial,96.64
Coding,Hard,15,7.2,123,History,10,High,10,Partial,80.93
MCQ,Medium,2,6.23,84,Science,5,Medium,5,Partial,40.36
Essay,Medium,14,4.86,155,Literature,10,Low,9,Full,88.95
MCQ,Medium,15,5.56,32,History,3,Low,2,Full,146.27
Essay,Hard,14,9.6,110,Math,6,Medium,2,Partial,127.61
Essay,Medium,5,2.94,166,History,9,High,9,None,71.87
Essay,Easy,15,4.6,51,Literature,7,High,8,Full,61.49
Essay,Hard,11,4.03,115,History,6,Medium,1,Full,134.75
MCQ,Easy,9,2.25,51,Science,8,High,6,None,72.42
Coding,Medium,6,1.27,45,Science,7,Medium,9,Full,42.15
Coding,Easy,20,9.14,127,History,3,Medium,2,Partial,160.89
MCQ,Easy,16,2.0,40,History,5,Low,5,None,172.87
Essay,Medium,10,4.94,67,Programming,6,High,8,Partial,67.0
MCQ,Easy,15,2.4,130,History,5,High,8,Partial,126.68
Essay,Easy,6,7.06,110,Math,4,Medium,4,Full,52.55
Coding,Medium,12,7.64,43,Programming,1,High,1,Full,115.77
MCQ,Hard,11,1.07,131,Programming,1,Medium,7,Full,209.68
MCQ,Easy,2,1.73,173,Literature,4,High,5,Partial,63.07
MCQ,Medium,8,5.16,157,Literature,2,High,3,Partial,117.04
MCQ,Hard,20,4.39,70,Science,8,High,10,None,121.36
Coding,Medium,16,7.27,135,Science,8,High,2,Partial,118.31
Essay,Medium,19,9.14,78,History,2,High,2,None,190.15
Coding,Medium,3,1.24,116,Science,1,Medium,2,None,114.47
MCQ,Easy,8,1.27,21,Science,5,Low,10,Partial,60.06
MCQ,Medium,7,7.36,54,History,5,Low,3,None,75.03
Essay,Easy,15,3.84,90,Science,7,High,10,None,83.96
MCQ,Medium,8,9.3,122,Programming,2,Low,3,Full,93.54
Coding,Hard,12,1.13,103,Science,7,High,1,Partial,174.27
Essay,Medium,17,9.25,62,Math,6,Low,5,Full,75.24
Essay,Easy,14,4.05,79,Math,10,Medium,3,Partial,79.5
MCQ,Easy,4,2.38,178,Science,6,High,8,Partial,75.49
Coding,Medium,13,7.69,93,Science,7,Low,6,Full,85.62
Coding,Easy,17,9.32,69,Math,5,High,10,None,66.93
MCQ,Medium,10,9.89,19,History,8,Low,3,Partial,51.31
Coding,Medium,18,9.5,91,Programming,5,Low,9,Partial,96.22
MCQ,Hard,17,1.16,175,History,2,High,7,Full,250.16
Coding,Medium,5,9.68,19,Math,10,High,2,None,22.64
MCQ,Medium,13,1.13,18,Math,6,High,6,None,141.89
MCQ,Medium,13,2.16,42,History,10,Medium,4,Partial,108.97
Coding,Hard,8,3.04,79,Math,1,Medium,3,Partial,170.51
MCQ,Hard,16,2.06,172,Science,9,Low,4,Partial,216.62
Coding,Hard,3,4.66,105,Math,6,Low,4,None,54.78
Coding,Easy,19,2.35,16,Programming,10,Low,5,Partial,102.75
Essay,Easy,4,1.19,140,Programming,5,Medium,8,Full,67.2
Coding,Hard,4,6.68,106,History,2,Low,2,Full,70.35
Coding,Hard,15,8.2,77,History,8,Low,5,None,119.38
Essay,Hard,8,5.34,118,Programming,2,Low,6,None,149.38
Essay,Easy,20,5.12,142,Literature,10,Low,3,None,157.32
Essay,Hard,17,3.51,83,Science,3,Medium,4,None,284.77
Essay,Hard,7,6.21,138,Science,5,Medium,10,Full,67.33
Coding,Medium,12,1.73,141,Literature,1,Low,7,Full,206.23
Essay,Medium,4,6.01,123,Math,7,Medium,6,Partial,51.11
MCQ,Medium,1,3.37,43,History,8,Medium,1,Partial,11.12
MCQ,Easy,15,9.39,132,History,1,High,4,Full,117.69
Essay,Hard,17,9.1,123,Literature,6,High,2,None,157.25
MCQ,Easy,6,4.88,63,Literature,9,Low,1,None,59.97
Coding,Easy,16,1.05,63,Math,6,Low,10,None,127.52
Coding,Easy,1,7.09,133,Math,9,Low,3,Full,44.36
Coding,Medium,8,2.03,179,History,8,Medium,8,Full,98.66
Coding,Easy,11,7.09,124,Literature,5,Medium,3,Full,76.97
Coding,Hard,4,2.81,19,Programming,3,High,6,None,59.09
Essay,Hard,3,4.82,168,Math,8,Medium,1,None,69.9
Coding,Easy,4,4.94,16,Science,3,Low,7,None,29.98
Coding,Easy,4,8.24,110,Math,8,Low,2,None,52.04
Coding,Easy,1,3.7,136,Programming,9,High,5,Full,53.29
Essay,Hard,3,5.0,20,Programming,7,High,6,Partial,18.15
Coding,Easy,16,1.88,157,Literature,7,High,7,Partial,128.14
Essay,Hard,11,1.18,167,Science,7,Low,2,Full,171.36
MCQ,Medium,3,3.11,40,Math,6,Medium,10,None,24.17
Coding,Hard,12,8.03,142,Math,5,Low,5,Partial,124.07
MCQ,Easy,11,3.66,115,Literature,7,High,6,Partial,77.54
Essay,Hard,15,4.21,97,Science,3,Low,10,Partial,151.3
Essay,Medium,8,9.32,40,Science,3,Low,10,None,47.5
Essay,Easy,14,7.01,89,Programming,2,High,2,None,144.02
Coding,Medium,5,7.44,142,Programming,1,High,7,Full,74.17
Essay,Easy,7,9.37,166,History,1,Medium,2,Full,100.76
Essay,Medium,19,8.68,91,Literature,2,High,3,Partial,163.19
MCQ,Easy,20,6.85,83,Science,9,High,6,Partial,88.45
Coding,Easy,12,9.42,161,Science,2,Medium,8,None,114.93
Coding,Easy,6,3.42,142,History,10,Low,2,Full,76.55
Coding,Easy,7,5.23,97,Science,3,Low,9,None,64.81
MCQ,Medium,18,1.86,77,History,1,Medium,4,Partial,336.95
MCQ,Medium,14,8.75,153,Science,6,Medium,6,Full,83.24
MCQ,Medium,14,7.91,57,Math,8,Medium,6,None,82.59
MCQ,Medium,2,6.93,74,Literature,7,Medium,7,Full,35.58
MCQ,Easy,7,2.42,122,Math,5,Low,3,Partial,101.53
Coding,Easy,15,5.52,108,Science,9,Low,6,Partial,96.46
Essay,Hard,1,1.56,21,History,4,Low,4,None,26.97
MCQ,Easy,1,3.96,160,Math,4,Medium,9,Partial,43.93
Coding,Medium,10,5.52,141,Programming,5,High,6,None,99.69
MCQ,Medium,17,3.04,111,Literature,3,Low,4,Partial,252.95
Coding,Hard,5,3.93,62,Math,2,High,10,Partial,63.43
Essay,Medium,20,8.86,147,History,3,Medium,6,None,173.1
MCQ,Medium,12,1.81,58,History,1,High,5,Full,150.92
MCQ,Hard,7,5.84,61,History,1,Low,9,None,102.77
Coding,Easy,12,8.89,52,History,1,Medium,5,Full,69.32
Coding,Easy,1,9.45,157,Math,10,Medium,9,Full,43.57
MCQ,Easy,17,3.08,50,Programming,1,High,9,Partial,144.28
Essay,Easy,8,9.48,172,Literature,9,Medium,6,Partial,80.48
Coding,Hard,8,5.31,116,Programming,5,High,2,Partial,101.78
Coding,Easy,7,6.18,67,Literature,4,Low,6,Full,46.69
MCQ,Medium,16,9.49,39,Math,2,Low,9,None,123.78
Essay,Easy,12,6.27,151,Literature,9,High,4,None,94.62
Essay,Medium,13,3.81,173,Literature,7,Low,2,Partial,158.57
Essay,Hard,2,7.41,148,Programming,9,High,7,None,48.56
Essay,Hard,16,4.56,72,Math,9,Low,7,Full,90.85
MCQ,Medium,8,2.18,163,Science,3,High,2,None,164.68
Essay,Hard,18,3.19,111,Programming,5,High,2,Partial,231.02
MCQ,Medium,9,3.0,127,Programming,1,Medium,6,Partial,158.33
Essay,Medium,7,1.2,107,Math,9,High,8,None,70.72
Coding,Easy,18,4.4,143,Science,2,Medium,2,None,260.28
MCQ,Easy,12,2.15,127,Science,5,Low,1,Partial,165.54
MCQ,Hard,2,2.15,176,Programming,5,High,7,None,70.52
Coding,Hard,16,2.15,21,Literature,3,Low,7,Partial,230.44
Coding,Easy,16,8.45,18,Math,4,Low,7,Full,61.39
Essay,Easy,6,6.63,78,Literature,2,Low,9,Full,51.03
Coding,Hard,15,2.81,147,Math,8,Low,10,Partial,138.12
Coding,Hard,20,4.51,161,Math,6,Low,3,None,280.48
MCQ,Easy,11,2.43,155,Science,6,High,6,None,127.6
MCQ,Hard,12,1.36,41,Programming,8,Medium,10,None,111.36
Essay,Easy,17,1.4,74,Math,10,High,1,None,160.11
Coding,Hard,5,1.91,51,History,10,Medium,5,Partial,59.66
Essay,Hard,4,4.7,76,Math,9,Low,6,Full,38.69
Essay,Easy,12,6.68,56,Programming,9,High,7,Partial,40.7
MCQ,Medium,6,5.93,41,Math,3,Low,5,Partial,62.75
Coding,Easy,10,4.91,53,History,6,Medium,5,Partial,60.33
Coding,Medium,4,1.37,52,Literature,4,High,2,Partial,65.71
Coding,Hard,12,1.74,177,History,2,High,9,None,213.89
Coding,Hard,17,4.53,135,History,2,Medium,5,Full,198.85
MCQ,Hard,7,4.81,40,Programming,9,High,6,Full,30.1
Coding,Easy,20,7.22,35,Math,9,Low,10,Full,43.75
Essay,Easy,5,8.91,125,Literature,6,Medium,7,Full,56.99
Essay,Easy,9,2.84,28,Programming,4,High,5,Partial,74.0
Essay,Easy,16,9.19,110,Programming,5,Medium,2,Partial,100.92
Coding,Medium,9,9.44,157,Science,1,Medium,2,Partial,121.8
Essay,Hard,12,9.19,155,Programming,5,Low,9,None,108.64
MCQ,Medium,1,6.35,163,Science,3,Medium,9,None,60.45
Essay,Medium,8,7.11,75,Math,1,High,4,Partial,84.99
Essay,Hard,8,5.39,84,History,3,Medium,5,None,120.68
MCQ,Easy,10,8.79,141,Programming,10,Medium,7,None,63.64
Essay,Medium,19,2.61,129,Math,7,Medium,5,None,215.95
MCQ,Hard,6,6.85,70,Science,9,High,9,Partial,36.86
MCQ,Hard,10,2.18,129,Science,10,High,1,Full,102.87
Coding,Hard,6,5.09,88,Math,6,Low,8,Partial,66.14
Coding,Medium,15,6.0,24,Math,2,Low,2,Partial,177.23
Coding,Medium,2,9.12,20,Programming,8,High,8,Partial,19.29
Coding,Hard,14,3.12,33,Literature,1,Low,5,None,321.28
Coding,Easy,4,4.03,42,Literature,6,High,10,None,27.14
Coding,Hard,11,5.73,35,Programming,2,Low,3,Full,136.98
Essay,Hard,3,1.73,25,Math,2,Medium,9,None,62.36
MCQ,Medium,17,6.38,86,Math,2,Medium,7,None,181.4
Coding,Hard,10,7.36,137,Science,1,High,10,None,120.5
MCQ,Medium,19,5.89,165,Math,10,Medium,6,Partial,131.18
Coding,Medium,1,3.23,22,Science,8,Medium,6,Partial,3.65
MCQ,Medium,4,5.82,140,History,10,Medium,8,Partial,55.36
MCQ,Hard,11,7.53,58,Literature,9,Medium,4,Partial,67.49
Essay,Medium,7,8.71,99,Math,2,Low,8,Full,69.76
MCQ,Medium,1,1.54,29,History,9,Low,7,Partial,19.02
MCQ,Medium,16,5.92,168,Programming,5,Medium,7,Partial,137.06
Coding,Medium,7,7.04,106,Math,10,Low,9,Full,53.66
Essay,Medium,20,5.64,139,Science,7,Medium,9,None,125.56
Essay,Medium,13,1.55,84,History,2,Low,7,Partial,212.62
MCQ,Easy,20,9.42,69,Programming,10,Low,9,Partial,56.46
Essay,Hard,20,9.91,104,History,1,High,6,Partial,190.28
Essay,Medium,1,2.24,61,Science,6,Medium,5,None,33.31
Coding,Hard,16,3.77,31,History,1,Low,8,None,278.18
MCQ,Easy,2,7.08,56,Programming,1,Medium,7,None,30.38
Essay,Medium,2,6.08,176,Math,7,Medium,3,Partial,70.63
Coding,Easy,8,1.95,166,Programming,4,Medium,4,Full,108.58
Essay,Easy,7,4.76,89,Math,10,Medium,3,Partial,58.12
MCQ,Easy,6,8.64,105,Math,4,High,3,None,61.97
Essay,Hard,9,2.89,147,Literature,3,Low,8,Full,126.4
MCQ,Hard,12,5.47,62,Literature,4,Low,3,Partial,139.04
Essay,Medium,11,7.1,116,Programming,1,Medium,2,None,180.27
Coding,Medium,2,8.1,123,Math,1,High,5,Partial,44.9
Coding,Medium,11,7.43,170,Programming,9,Medium,1,Full,90.19
Essay,Easy,8,3.53,115,Literature,1,Low,7,Full,108.41
Coding,Medium,12,3.53,67,Math,3,Low,1,None,226.39
Essay,Easy,13,1.13,89,Literature,7,Medium,3,Full,117.32
Essay,Medium,4,7.89,40,Math,6,Medium,5,Full,24.48
Coding,Medium,1,2.99,180,Literature,9,Low,5,Full,50.51
MCQ,Easy,12,7.85,39,Programming,4,Medium,2,Partial,69.8
MCQ,Easy,5,6.53,165,Programming,7,Low,1,Partial,67.57
Coding,Hard,8,5.24,80,History,1,High,5,None,132.77
Coding,Hard,9,3.09,114,Science,7,Medium,2,Partial,116.34
Essay,Medium,8,2.38,123,Literature,5,Medium,3,Partial,110.91
Coding,Medium,17,3.05,133,Math,6,Low,3,None,233.77
Coding,Easy,10,5.36,129,History,1,Low,4,Partial,136.91
MCQ,Easy,6,6.53,121,Science,10,Medium,4,None,62.07
Coding,Easy,16,4.1,84,Programming,4,Medium,6,None,150.93
MCQ,Easy,10,1.04,109,History,4,High,6,None,136.03
MCQ,Easy,11,5.97,65,Programming,7,Medium,9,None,69.17
MCQ,Medium,15,7.44,25,Science,10,High,8,Full,40.43
Essay,Easy,2,5.55,31,Math,2,Medium,1,Full,32.14
MCQ,Easy,16,8.25,168,Literature,6,High,1,Partial,112.44
MCQ,Hard,9,3.08,144,History,8,Medium,5,None,125.48
Essay,Medium,14,5.01,51,Literature,10,Low,7,Partial,69.57
MCQ,Easy,17,6.67,153,Math,7,Low,5,Partial,108.76
Coding,Hard,3,9.04,180,Literature,6,High,10,None,56.96
Essay,Easy,12,7.89,25,Literature,10,Low,4,None,65.09
MCQ,Medium,19,6.67,82,Programming,1,Low,5,None,263.69
Coding,Medium,4,7.13,91,Programming,1,Medium,8,None,58.61
Coding,Medium,10,3.04,132,Literature,5,Low,1,Partial,153.1
Essay,Medium,13,7.66,83,Science,6,Low,4,None,112.14
Essay,Medium,12,3.68,45,Math,7,Low,4,None,121.05
MCQ,Medium,1,3.08,73,Programming,8,Low,4,Partial,29.71
MCQ,Medium,18,1.55,43,History,6,High,2,None,230.22
Coding,Hard,8,9.09,55,History,6,Low,7,Partial,54.41
Coding,Medium,9,9.63,75,Literature,9,Medium,10,Partial,38.17
Coding,Easy,7,9.08,41,Science,9,Low,4,None,47.32
Essay,Easy,1,3.23,73,Literature,5,Medium,6,Partial,25.35
Essay,Easy,1,6.86,36,Science,6,Medium,10,None,14.14
Essay,Easy,15,7.11,156,Math,2,Low,5,None,180.82
Essay,Easy,1,3.58,29,Literature,1,Medium,8,None,21.42
Coding,Easy,18,7.06,64,Programming,4,Low,7,Partial,104.6
Coding,Hard,5,7.94,145,Programming,4,Low,7,Full,69.14
Essay,Hard,4,4.93,112,Science,9,High,8,None,57.74
Essay,Hard,5,2.95,27,History,3,Low,1,Partial,98.14
Coding,Hard,3,5.01,16,History,6,High,9,Partial,25.73
MCQ,Hard,14,1.82,107,Math,3,Low,9,None,232.76
Essay,Hard,13,4.27,99,Literature,3,High,10,Partial,104.7
MCQ,Easy,2,1.63,123,Literature,3,High,9,None,60.16
Essay,Hard,18,8.21,70,Science,8,Low,9,Full,71.42
Coding,Medium,17,6.71,69,Literature,3,Low,9,Partial,110.53
Coding,Hard,8,1.18,31,Science,1,Medium,3,None,238.51
Coding,Medium,3,7.9,150,Science,10,Medium,3,Partial,66.09
Coding,Hard,7,5.87,103,Literature,6,High,10,Full,60.57
Coding,Hard,13,2.33,99,Literature,1,Low,5,None,351.25
Coding,Medium,18,5.39,30,History,4,Medium,9,Full,89.01
Coding,Medium,1,5.06,69,Programming,9,High,6,None,25.12
Essay,Medium,2,1.79,160,Science,6,Low,10,None,72.42
Coding,Easy,10,8.34,117,History,10,Medium,9,None,51.49
Essay,Easy,2,9.84,119,Math,9,Medium,10,None,47.62
MCQ,Easy,19,6.03,66,Math,4,Medium,5,Full,99.96
Coding,Easy,4,3.46,43,Programming,3,Low,4,Partial,46.05
Coding,Easy,17,7.12,51,History,5,Low,8,None,105.36
MCQ,Hard,16,5.32,129,History,7,Medium,2,Partial,169.31
Essay,Medium,18,6.83,30,Science,4,High,1,None,154.09
Essay,Easy,17,8.42,56,Math,7,Low,1,Full,72.51
MCQ,Easy,3,9.64,152,Programming,5,High,5,Full,56.93
Coding,Medium,7,5.43,159,Programming,10,High,1,Full,83.64
MCQ,Medium,16,3.85,110,Science,1,Low,7,Partial,226.36
Essay,Medium,16,5.11,135,Literature,9,Low,7,None,129.29
Coding,Medium,4,7.34,36,Math,2,Medium,1,Partial,44.43
Coding,Medium,16,9.47,156,History,2,High,5,None,166.99
Coding,Medium,12,6.3,71,History,5,High,5,Full,82.15
MCQ,Medium,4,8.22,93,Math,10,Medium,8,None,31.89
MCQ,Medium,18,5.08,119,Math,7,Low,4,Full,138.09
Coding,Hard,8,5.39,89,History,10,Low,9,None,72.6
Essay,Medium,3,4.75,166,Literature,3,Medium,3,Full,73.79
MCQ,Hard,15,6.98,88,History,4,Medium,7,Full,113.7
Coding,Medium,3,9.89,24,Programming,3,Medium,8,Full,11.78
Coding,Easy,6,8.58,149,Programming,7,Low,3,None,84.53
MCQ,Hard,1,5.18,180,Programming,10,Low,4,Partial,70.03
Coding,Easy,6,3.97,39,Science,8,Medium,6,None,42.57
MCQ,Hard,4,3.17,50,Math,3,Low,6,Full,55.95
Essay,Easy,9,8.93,71,Math,8,High,8,None,44.22
Essay,Easy,3,7.97,82,Literature,5,High,8,Partial,43.16
Coding,Hard,13,4.3,133,Math,9,High,10,Partial,83.75
Essay,Easy,9,4.36,130,Math,4,Low,10,Partial,84.16
Coding,Easy,4,2.0,160,Science,9,Low,5,Partial,68.82
MCQ,Medium,4,9.91,83,Math,4,Medium,10,Full,29.16
Coding,Easy,6,5.11,124,Science,4,Medium,3,Full,64.33
Essay,Hard,3,8.72,90,History,3,Medium,2,None,68.03
MCQ,Hard,8,8.16,158,Programming,8,Low,7,None,90.24
Essay,Medium,15,1.22,91,Math,9,Low,8,None,145.31
Essay,Hard,4,5.15,128,Math,9,Low,10,None,63.15
MCQ,Medium,15,4.03,99,Programming,9,Medium,2,Full,98.62
MCQ,Easy,14,7.58,98,Programming,3,Medium,8,Partial,93.39
Coding,Hard,15,8.92,100,Programming,8,Low,2,None,141.5
Coding,Easy,4,5.76,141,Math,9,High,4,None,67.75
Coding,Medium,1,4.05,90,Math,9,High,1,None,30.22
Essay,Hard,16,5.56,58,Programming,10,Low,6,Partial,94.67
Coding,Hard,11,4.97,180,Programming,3,Medium,7,Partial,142.0
Coding,Medium,9,5.27,144,Math,5,Low,9,Full,81.01
MCQ,Easy,11,6.91,153,Math,7,Medium,7,Partial,77.18
Coding,Easy,5,8.51,49,Science,4,Low,5,Full,31.47
Coding,Medium,2,4.67,84,Literature,7,Low,10,None,40.97
Coding,Medium,13,4.7,163,Science,2,High,1,Partial,190.31
Coding,Hard,18,3.69,100,Math,3,Medium,8,Partial,193.19
Essay,Medium,13,1.24,94,Science,7,High,5,None,148.98
Essay,Hard,14,4.72,84,Math,9,High,3,None,117.7
Coding,Medium,4,3.63,141,Literature,10,High,2,Partial,73.35
MCQ,Hard,10,1.25,160,History,4,High,10,None,142.72
MCQ,Hard,5,6.48,161,Math,5,Medium,3,None,94.13
MCQ,Medium,5,8.63,118,Science,2,Low,9,Full,58.16
Essay,Easy,2,2.03,38,Math,5,Medium,4,Partial,26.41
MCQ,Easy,15,2.94,62,Literature,3,Low,6,Partial,156.02
MCQ,Easy,3,1.26,179,Math,6,High,8,None,75.8
Essay,Easy,16,6.21,51,Programming,10,Low,3,Full,58.18
MCQ,Hard,3,1.18,161,Science,4,High,3,None,104.3
MCQ,Easy,7,8.23,62,Programming,6,Medium,9,Full,29.94
Essay,Medium,16,9.4,150,Math,3,Medium,3,None,175.44
Essay,Hard,7,9.84,61,Programming,2,Medium,8,None,77.14
MCQ,Medium,4,5.44,47,Science,6,Low,3,Partial,52.63
MCQ,Hard,15,6.21,58,Literature,7,High,4,Full,85.27
Essay,Medium,16,8.44,28,Science,2,Low,7,Full,97.61
Essay,Medium,13,6.59,161,Programming,4,High,7,Full,109.34
Coding,Easy,6,8.09,120,Programming,8,Low,5,None,63.5
Essay,Easy,16,3.64,113,Programming,10,Low,5,None,114.21
Essay,Easy,18,2.47,45,Math,4,High,6,None,149.68
MCQ,Medium,9,4.92,172,Programming,3,Low,4,None,167.05
Coding,Hard,8,3.69,21,Math,6,High,2,Full,73.73
Essay,Hard,12,1.75,153,Science,4,High,8,Full,143.67
Essay,Easy,17,1.67,109,Math,1,High,3,None,313.69
Essay,Hard,12,4.12,32,Programming,3,Medium,5,Partial,132.97
MCQ,Hard,17,3.91,16,Math,6,High,6,Full,98.1
