QuestionID,StudentID,AnswerLength,TimeTaken,Correctness,Grade,QuestionType,Subject,Difficulty
Q33,S52,539,97.99,14,1.9,Short Answer,History,Hard
Q34,S85,233,144.05,37,3.7,Multiple Choice,Geography,Medium
Q35,S89,356,126.49,53,5.3,Short Answer,Literature,Hard
Q36,S77,734,113.82,46,4.9,Essay,Literature,Hard
Q37,S96,577,121.86,0,-0.1,Essay,Science,Easy
Q38,S21,11,173.62,28,2.2,Short Answer,History,Hard
Q39,S30,534,10.53,11,1.2,Essay,Science,Easy
Q40,S30,207,24.46,13,0.7,Multiple Choice,Literature,Easy
Q41,S74,17,1.26,65,7.4,Short Answer,History,Medium
Q42,S57,735,49.18,9,0.5,Short Answer,History,Medium
Q43,S77,140,12.41,50,4.2,Essay,Geography,Hard
Q44,S84,892,178.53,50,4.7,Essay,History,Easy
Q45,S4,540,110.06,29,3.3,Essay,Literature,Easy
Q46,S79,154,158.36,5,0.9,Short Answer,Science,Easy
Q47,S64,7,48.45,40,4.5,Essay,Math,Easy
Q48,S83,772,111.79,12,2.0,Essay,History,Hard
Q49,S3,259,108.95,3,-0.4,Essay,Science,Easy
Q50,S6,380,78.64,39,3.6,Short Answer,Literature,Medium
Q1,S52,367,68.86,64,6.8,Multiple Choice,Geography,Medium
Q2,S21,465,111.74,68,6.7,Multiple Choice,History,Hard
Q3,S38,893,155.48,13,1.6,Essay,Math,Medium
Q4,S29,669,144.34,15,2.1,Essay,Literature,Medium
Q5,S90,49,55.31,57,5.4,Essay,Science,Easy
Q6,S42,31,81.69,55,4.7,Essay,History,Hard
Q7,S1,761,147.85,66,7.2,Multiple Choice,Math,Medium
Q8,S92,777,91.59,54,5.9,Multiple Choice,Science,Easy
Q9,S57,246,28.06,87,8.2,Short Answer,Math,Hard
Q10,S74,593,168.88,57,4.7,Multiple Choice,Math,Easy
Q11,S62,47,103.26,26,2.8,Essay,Math,Medium
Q12,S8,265,8.68,56,5.6,Essay,Geography,Hard
Q13,S73,700,172.17,85,8.9,Essay,Science,Easy
Q14,S50,240,141.02,95,9.7,Multiple Choice,History,Easy
Q15,S89,786,157.87,64,5.6,Multiple Choice,Math,Easy
Q16,S76,178,54.18,74,6.5,Short Answer,Geography,Hard
Q17,S19,771,67.83,19,1.0,Short Answer,Literature,Easy
Q18,S29,511,59.36,16,1.4,Short Answer,Literature,Medium
Q19,S31,487,91.83,28,1.8,Short Answer,History,Medium
Q20,S92,454,25.45,63,6.2,Multiple Choice,History,Hard
Q21,S49,277,106.2,9,-0.0,Short Answer,History,Easy
Q22,S57,81,166.08,38,3.9,Essay,History,Easy
Q23,S76,724,69.03,56,4.6,Multiple Choice,Literature,Hard
Q24,S39,559,10.91,56,6.4,Short Answer,Math,Hard
Q25,S96,562,128.44,56,5.2,Multiple Choice,Math,Easy
Q26,S78,274,122.6,51,4.8,Essay,Literature,Medium
Q27,S88,507,102.45,51,4.7,Multiple Choice,Geography,Easy
Q28,S21,706,91.99,24,3.1,Multiple Choice,History,Easy
Q29,S21,122,84.94,39,4.2,Multiple Choice,Geography,Medium
Q30,S29,121,45.31,63,6.3,Short Answer,Geography,Easy
Q31,S80,395,173.08,41,3.7,Essay,Math,Hard
Q32,S33,628,133.07,95,8.6,Multiple Choice,Science,Hard
Q33,S23,317,66.95,6,0.5,Essay,Math,Easy
Q34,S60,26,149.89,94,8.8,Multiple Choice,Science,Hard
Q35,S9,142,146.27,3,1.2,Essay,Math,Easy
Q36,S15,616,62.56,72,8.1,Essay,Math,Easy
Q37,S100,512,45.79,83,8.2,Essay,History,Medium
Q38,S81,943,54.73,30,2.4,Short Answer,Geography,Hard
Q39,S2,557,175.58,36,3.4,Short Answer,Math,Easy
Q40,S53,236,66.88,95,9.6,Essay,Science,Hard
Q41,S56,486,69.89,95,8.9,Multiple Choice,Science,Easy
Q42,S59,537,153.85,19,1.1,Essay,Math,Easy
Q43,S39,656,101.3,7,0.3,Essay,History,Medium
Q44,S99,133,51.08,17,2.5,Short Answer,Science,Hard
Q45,S20,929,25.77,64,6.1,Multiple Choice,History,Hard
Q46,S44,338,103.41,64,5.8,Essay,Geography,Hard
Q47,S66,312,77.79,49,5.6,Short Answer,Science,Easy
Q48,S24,275,9.79,15,1.5,Multiple Choice,Geography,Medium
Q49,S81,854,68.14,23,2.2,Short Answer,History,Medium
Q50,S38,755,131.14,10,1.6,Essay,Geography,Medium
Q1,S19,165,103.19,84,7.6,Multiple Choice,Geography,Hard
Q2,S94,781,171.04,12,0.2,Short Answer,History,Medium
Q3,S86,972,138.71,97,9.0,Short Answer,Math,Hard
Q4,S21,469,144.36,93,10.1,Multiple Choice,Literature,Easy
Q5,S60,829,176.5,57,5.5,Short Answer,Geography,Easy
Q6,S44,395,133.24,77,8.3,Short Answer,History,Easy
Q7,S10,919,68.75,46,5.5,Essay,Math,Hard
Q8,S94,281,90.24,37,4.1,Multiple Choice,Science,Medium
Q9,S41,154,133.11,52,6.1,Multiple Choice,History,Easy
Q10,S76,932,31.5,64,5.7,Essay,History,Hard
Q11,S92,666,159.63,73,7.0,Multiple Choice,History,Medium
Q12,S34,33,12.85,60,5.5,Essay,History,Medium
Q13,S93,980,141.14,49,5.0,Multiple Choice,History,Medium
Q14,S60,238,173.09,94,10.1,Essay,History,Easy
Q15,S81,534,109.3,41,3.3,Essay,Geography,Medium
Q16,S73,111,115.74,42,4.9,Essay,Science,Medium
Q17,S72,823,43.6,0,-0.5,Essay,Math,Hard
Q18,S80,781,179.4,70,8.0,Short Answer,History,Medium
Q19,S82,119,65.08,73,7.4,Short Answer,Science,Hard
Q20,S7,95,173.87,14,0.9,Multiple Choice,Math,Easy
Q21,S19,732,4.66,40,4.5,Short Answer,Science,Hard
Q22,S92,691,152.58,19,2.8,Multiple Choice,History,Hard
Q23,S16,586,136.53,73,7.0,Short Answer,Literature,Easy
Q24,S7,992,141.67,99,9.1,Essay,Literature,Hard
Q25,S61,190,161.99,15,1.6,Essay,Geography,Medium
Q26,S36,921,51.2,92,9.7,Essay,Literature,Hard
Q27,S75,609,80.31,45,4.6,Multiple Choice,History,Medium
Q28,S79,177,49.02,11,0.9,Short Answer,Math,Hard
Q29,S88,775,108.62,91,9.0,Short Answer,Science,Easy
Q30,S6,910,136.92,11,0.3,Essay,History,Medium
Q31,S47,818,81.17,2,-0.1,Essay,History,Easy
Q32,S58,758,31.46,60,6.5,Multiple Choice,Math,Hard
Q33,S38,565,134.25,40,4.4,Short Answer,Literature,Hard
Q34,S63,768,41.12,19,2.6,Multiple Choice,Geography,Easy
Q35,S34,802,141.54,55,4.7,Short Answer,History,Medium
Q36,S30,166,176.97,82,8.7,Short Answer,Science,Medium
Q37,S2,468,3.64,46,4.6,Short Answer,Literature,Hard
Q38,S3,463,156.7,65,5.8,Multiple Choice,Math,Medium
Q39,S6,657,119.23,64,5.5,Short Answer,Literature,Hard
Q40,S100,773,132.11,68,6.0,Multiple Choice,History,Easy
Q41,S19,216,161.65,3,0.8,Essay,Literature,Easy
Q42,S43,857,117.44,77,7.2,Multiple Choice,History,Easy
Q43,S59,423,129.23,98,9.8,Essay,Literature,Hard
Q44,S21,974,159.18,91,9.7,Essay,Math,Medium
Q45,S76,293,172.12,90,8.4,Essay,Geography,Easy
Q46,S56,552,111.76,55,6.0,Short Answer,Literature,Easy
Q47,S33,813,147.22,63,5.5,Essay,Geography,Medium
Q48,S69,448,13.3,64,6.2,Essay,Geography,Hard
Q49,S85,598,67.08,63,6.5,Essay,Literature,Easy
Q50,S26,104,69.79,56,5.6,Essay,Math,Hard
Q1,S5,424,107.2,29,3.0,Essay,Science,Easy
Q2,S21,291,85.02,58,4.9,Short Answer,Literature,Easy
Q3,S57,983,47.6,65,7.3,Short Answer,Math,Easy
Q4,S51,855,63.72,90,9.0,Short Answer,Literature,Medium
Q5,S4,372,13.3,19,2.2,Essay,Geography,Medium
Q6,S51,556,89.56,66,6.2,Essay,History,Easy
Q7,S84,386,48.43,34,2.9,Multiple Choice,Science,Easy
Q8,S27,305,123.34,94,9.0,Short Answer,Science,Hard
Q9,S70,903,116.91,10,0.8,Essay,History,Easy
Q10,S26,810,5.31,17,2.2,Multiple Choice,Geography,Medium
Q11,S77,631,86.54,59,5.9,Short Answer,Literature,Medium
Q12,S33,673,37.31,96,9.8,Essay,Literature,Medium
Q13,S91,976,137.08,63,5.9,Essay,Science,Hard
Q14,S3,619,19.9,40,3.2,Short Answer,Literature,Hard
Q15,S82,406,54.15,22,2.2,Multiple Choice,Science,Easy
Q16,S97,839,1.83,65,6.5,Multiple Choice,Math,Medium
Q17,S51,185,6.02,2,0.7,Multiple Choice,Geography,Hard
Q18,S73,920,169.41,79,7.8,Multiple Choice,Science,Hard
Q19,S6,136,51.24,65,7.0,Essay,Literature,Hard
Q20,S3,794,46.08,50,5.6,Multiple Choice,Literature,Easy
Q21,S26,432,157.48,16,1.9,Essay,Math,Easy
Q22,S10,195,130.28,9,0.7,Short Answer,Literature,Hard
Q23,S72,444,93.78,84,9.3,Essay,Math,Easy
Q24,S64,884,100.56,41,5.0,Short Answer,Geography,Easy
Q25,S17,986,129.03,75,6.7,Multiple Choice,Math,Hard
Q26,S78,547,70.6,78,6.9,Short Answer,Science,Medium
Q27,S49,932,43.18,64,5.8,Essay,Science,Hard
Q28,S1,949,85.65,8,0.6,Essay,Literature,Medium
Q29,S94,585,106.46,71,6.2,Essay,Geography,Hard
Q30,S7,37,104.97,19,1.6,Multiple Choice,Science,Easy
Q31,S84,910,62.34,98,9.5,Short Answer,Literature,Hard
Q32,S50,723,175.77,9,0.7,Multiple Choice,Literature,Easy
Q33,S2,267,45.64,53,4.5,Short Answer,Math,Hard
Q34,S44,549,64.41,99,9.5,Short Answer,History,Medium
Q35,S56,365,55.43,61,6.6,Essay,Geography,Medium
Q36,S28,715,20.34,55,5.7,Short Answer,Math,Medium
Q37,S22,97,98.13,70,7.1,Essay,Math,Easy
Q38,S19,360,179.86,67,6.1,Essay,Literature,Medium
Q39,S87,203,139.66,61,6.4,Multiple Choice,Literature,Hard
Q40,S87,879,101.96,56,5.1,Multiple Choice,Science,Hard
Q41,S39,293,1.85,52,4.8,Essay,Literature,Medium
Q42,S26,644,35.76,21,2.0,Multiple Choice,Math,Hard
Q43,S89,545,144.49,60,6.7,Multiple Choice,Math,Hard
Q44,S73,846,48.24,38,3.8,Essay,Science,Easy
Q45,S50,692,138.86,87,9.1,Essay,Science,Hard
Q46,S87,400,49.99,95,10.4,Short Answer,Science,Easy
Q47,S76,701,151.65,48,5.6,Multiple Choice,History,Easy
Q48,S38,906,147.89,53,5.2,Essay,History,Medium
Q49,S28,535,108.55,63,6.8,Short Answer,Literature,Hard
Q50,S66,92,8.39,4,1.0,Essay,Science,Medium
Q1,S39,50,55.64,43,3.8,Short Answer,Literature,Easy
Q2,S93,394,98.46,83,8.0,Multiple Choice,Literature,Hard
Q3,S26,68,1.43,62,6.2,Essay,Geography,Medium
Q4,S76,204,43.48,67,5.8,Multiple Choice,Geography,Medium
Q5,S18,32,178.71,78,7.8,Short Answer,Literature,Hard
Q6,S25,884,34.79,77,8.0,Essay,Math,Easy
Q7,S36,43,21.58,99,10.6,Essay,Geography,Easy
Q8,S56,67,123.28,55,4.6,Essay,Math,Medium
Q9,S97,934,24.23,7,-0.2,Short Answer,History,Hard
Q10,S62,437,158.78,33,3.7,Short Answer,Science,Hard
Q11,S44,43,97.68,72,7.0,Essay,Literature,Easy
Q12,S54,621,111.81,17,2.5,Essay,Math,Medium
Q13,S97,805,100.14,12,2.1,Short Answer,Math,Medium
Q14,S85,921,67.64,35,4.3,Short Answer,Math,Easy
Q15,S48,236,176.62,26,1.9,Essay,Geography,Easy
Q16,S37,659,22.31,46,3.6,Multiple Choice,Literature,Hard
Q17,S49,88,38.26,8,0.7,Multiple Choice,Math,Medium
Q18,S61,191,142.48,73,6.3,Essay,Math,Hard
Q19,S49,783,102.08,83,7.5,Essay,Math,Easy
Q20,S85,838,19.7,46,4.2,Multiple Choice,Math,Easy
Q21,S93,452,156.82,36,4.5,Multiple Choice,History,Easy
Q22,S97,344,78.85,56,6.3,Essay,Math,Medium
Q23,S7,116,26.37,83,9.1,Essay,Science,Medium
Q24,S16,355,171.88,11,1.0,Short Answer,Literature,Hard
Q25,S68,22,93.89,83,7.7,Essay,Literature,Easy
Q26,S21,282,21.17,55,5.8,Essay,Math,Hard
Q27,S73,584,132.02,13,1.0,Essay,Geography,Medium
Q28,S100,14,9.22,48,5.5,Essay,History,Medium
Q29,S87,994,153.7,5,-0.1,Short Answer,Geography,Hard
Q30,S66,110,72.57,25,2.7,Multiple Choice,Math,Medium
Q31,S8,206,146.94,72,6.5,Short Answer,Science,Medium
Q32,S7,584,167.02,52,5.1,Essay,Science,Easy
Q33,S8,863,165.61,53,4.4,Essay,Math,Easy
Q34,S72,145,15.88,25,2.4,Multiple Choice,Math,Medium
Q35,S52,628,56.19,37,4.0,Short Answer,History,Hard
Q36,S46,763,104.0,34,2.7,Short Answer,Geography,Hard
Q37,S49,499,40.61,94,8.7,Multiple Choice,Math,Hard
Q38,S53,479,37.11,28,3.1,Short Answer,Math,Medium
Q39,S10,555,119.48,91,9.5,Short Answer,History,Hard
Q40,S33,736,107.39,22,2.6,Short Answer,Math,Hard
Q41,S26,244,60.32,33,3.6,Essay,Science,Medium
Q42,S85,46,67.88,1,0.6,Essay,Geography,Hard
Q43,S41,659,69.74,53,5.0,Short Answer,Geography,Easy
Q44,S59,364,150.71,34,3.9,Short Answer,Math,Easy
Q45,S3,314,14.23,21,2.6,Multiple Choice,Math,Hard
Q46,S32,991,34.8,21,1.5,Short Answer,Math,Hard
Q47,S77,753,26.34,73,7.8,Multiple Choice,Geography,Easy
Q48,S75,533,50.23,39,3.1,Multiple Choice,History,Easy
Q49,S54,355,52.27,90,9.7,Short Answer,Geography,Easy
Q50,S11,476,135.54,61,5.7,Short Answer,History,Hard
Q1,S55,268,176.52,33,2.4,Multiple Choice,History,Medium
Q2,S75,800,3.07,34,3.0,Essay,History,Easy
Q3,S68,980,99.42,26,2.4,Multiple Choice,History,Hard
Q4,S28,695,41.93,35,3.4,Short Answer,Math,Medium
Q5,S33,407,141.0,22,1.9,Multiple Choice,History,Easy
Q6,S99,333,76.28,37,4.2,Short Answer,Geography,Hard
Q7,S68,161,11.76,98,9.4,Short Answer,Math,Medium
Q8,S23,207,88.62,8,1.2,Short Answer,Literature,Easy
Q9,S2,971,6.43,5,1.3,Multiple Choice,Math,Medium
Q10,S97,509,54.25,30,3.6,Multiple Choice,Literature,Hard
Q11,S76,385,64.04,86,7.8,Short Answer,History,Medium
Q12,S9,871,176.92,8,1.0,Essay,Geography,Hard
Q13,S5,256,77.95,90,9.9,Short Answer,Geography,Hard
Q14,S25,241,108.34,56,6.3,Short Answer,Literature,Easy
Q15,S80,173,127.38,94,9.4,Essay,History,Hard
Q16,S79,226,151.01,67,7.6,Multiple Choice,Literature,Hard
Q17,S3,372,90.12,73,7.3,Short Answer,Science,Hard
Q18,S24,828,36.41,70,6.3,Essay,Geography,Easy
Q19,S38,610,145.09,35,2.8,Multiple Choice,History,Medium
Q20,S95,812,24.88,10,1.5,Short Answer,Math,Medium
Q21,S23,553,29.5,21,2.8,Short Answer,Geography,Hard
Q22,S17,978,179.71,56,5.8,Short Answer,History,Easy
Q23,S26,661,91.28,63,6.4,Essay,History,Medium
Q24,S30,191,125.01,11,1.3,Essay,Literature,Medium
Q25,S60,42,93.65,81,7.7,Essay,Math,Hard
Q26,S41,116,116.53,52,5.7,Essay,Literature,Medium
Q27,S45,198,28.35,21,1.6,Essay,Math,Medium
Q28,S9,925,53.03,84,8.8,Multiple Choice,History,Easy
Q29,S41,519,144.6,48,5.7,Short Answer,Math,Hard
Q30,S8,236,146.07,85,8.3,Short Answer,Literature,Hard
Q31,S40,410,21.99,48,5.6,Short Answer,Math,Medium
Q32,S59,345,158.95,2,-0.0,Short Answer,Science,Medium
Q33,S38,673,179.49,8,0.8,Essay,Literature,Medium
Q34,S15,243,170.5,46,5.4,Essay,Literature,Medium
Q35,S20,172,144.24,51,4.5,Short Answer,Geography,Easy
Q36,S12,205,146.01,21,2.6,Short Answer,Geography,Easy
Q37,S84,305,91.35,36,3.9,Short Answer,Geography,Medium
Q38,S70,671,100.03,21,2.0,Short Answer,Geography,Hard
Q39,S83,316,139.1,26,2.6,Essay,Math,Hard
Q40,S48,60,120.44,60,5.4,Essay,Math,Hard
Q41,S76,432,34.34,90,8.6,Essay,Literature,Hard
Q42,S47,761,110.56,50,5.5,Short Answer,Literature,Hard
Q43,S43,404,30.13,18,1.2,Multiple Choice,Literature,Medium
Q44,S15,219,57.84,31,3.9,Short Answer,History,Easy
Q45,S13,953,2.36,44,4.6,Short Answer,Geography,Medium
Q46,S87,969,144.99,68,6.9,Multiple Choice,Literature,Easy
Q47,S83,972,161.69,35,2.8,Short Answer,History,Medium
Q48,S59,925,98.33,2,1.0,Short Answer,Geography,Easy
Q49,S18,467,142.1,81,7.6,Essay,Math,Hard
Q50,S61,15,17.39,89,9.4,Essay,Science,Hard
Q1,S56,792,152.73,41,3.9,Multiple Choice,Literature,Medium
Q2,S39,535,117.12,54,4.9,Multiple Choice,History,Hard
Q3,S48,702,119.27,0,0.7,Essay,Math,Hard
Q4,S60,743,15.69,38,4.2,Multiple Choice,History,Medium
Q5,S94,29,24.78,53,4.7,Short Answer,History,Easy
Q6,S92,595,45.22,3,0.9,Short Answer,History,Hard
Q7,S95,222,90.49,37,4.2,Essay,Geography,Easy
Q8,S8,713,162.3,26,2.8,Essay,History,Hard
Q9,S95,455,34.95,25,2.2,Multiple Choice,Science,Medium
Q10,S88,726,89.63,50,5.2,Short Answer,Math,Medium
Q11,S11,277,147.07,51,5.0,Multiple Choice,Literature,Medium
Q12,S16,310,103.22,95,10.4,Short Answer,Geography,Easy
Q13,S91,16,99.72,2,1.1,Essay,Literature,Easy
Q14,S33,65,175.6,19,1.3,Short Answer,Math,Medium
Q15,S64,955,14.07,79,8.4,Essay,Geography,Medium
Q16,S73,214,176.37,7,1.3,Multiple Choice,Literature,Medium
Q17,S84,809,166.78,25,2.8,Essay,Geography,Easy
Q18,S95,184,88.38,42,4.3,Short Answer,History,Easy
Q19,S59,608,4.43,1,-0.1,Multiple Choice,Math,Easy
Q20,S59,290,114.6,24,2.3,Short Answer,Math,Easy
Q21,S23,650,69.59,45,4.5,Multiple Choice,History,Medium
Q22,S39,686,73.71,75,7.7,Essay,History,Easy
Q23,S89,75,58.43,14,0.7,Short Answer,Literature,Medium
Q24,S40,956,143.8,26,2.7,Multiple Choice,Math,Medium
Q25,S71,585,102.16,33,2.7,Essay,Science,Hard
Q26,S29,519,6.37,33,4.2,Short Answer,Literature,Easy
Q27,S97,225,142.93,66,6.0,Essay,History,Medium
Q28,S48,170,7.69,43,3.7,Short Answer,History,Hard
Q29,S48,555,72.63,75,7.9,Essay,Literature,Easy
Q30,S55,14,58.01,4,0.1,Multiple Choice,Math,Hard
Q31,S78,223,152.83,27,2.9,Essay,Science,Hard
Q32,S67,665,20.43,37,3.2,Essay,Math,Hard
Q33,S9,953,2.53,55,5.7,Multiple Choice,History,Medium
Q34,S65,29,77.82,73,6.7,Essay,Math,Easy
Q35,S66,829,49.32,35,3.1,Essay,History,Medium
Q36,S77,510,36.79,20,2.4,Essay,History,Medium
Q37,S31,46,94.6,49,4.5,Essay,Literature,Easy
Q38,S58,566,101.15,73,7.9,Essay,History,Hard
Q39,S18,194,158.06,90,9.0,Multiple Choice,History,Easy
Q40,S23,160,80.59,8,0.9,Multiple Choice,History,Medium
Q41,S39,195,91.03,83,7.3,Essay,Science,Easy
Q42,S45,295,40.36,45,3.9,Short Answer,Math,Medium
Q43,S83,541,58.96,47,4.9,Short Answer,Literature,Medium
Q44,S81,831,154.28,63,5.5,Short Answer,Math,Hard
Q45,S21,590,52.09,74,7.7,Essay,Math,Medium
Q46,S6,305,2.27,44,5.3,Essay,Geography,Easy
Q47,S96,417,22.53,92,9.1,Essay,Geography,Medium
Q48,S32,246,32.58,63,7.2,Short Answer,Geography,Easy
Q49,S40,140,73.17,44,4.7,Essay,Math,Hard
Q50,S48,435,156.41,81,8.4,Multiple Choice,History,Hard
Q1,S58,470,133.82,64,6.8,Short Answer,Literature,Easy
Q2,S95,897,47.46,77,7.6,Essay,Math,Medium
Q3,S12,992,103.9,0,0.3,Multiple Choice,Geography,Hard
Q4,S32,154,166.41,81,7.8,Multiple Choice,Geography,Medium
Q5,S71,80,93.26,21,3.0,Short Answer,Math,Hard
Q6,S12,44,63.82,29,3.0,Essay,Literature,Easy
Q7,S57,950,128.35,75,7.7,Multiple Choice,History,Easy
Q8,S91,169,116.52,97,8.9,Short Answer,History,Hard
Q9,S18,609,168.24,39,4.3,Multiple Choice,Science,Easy
Q10,S75,381,117.11,82,7.8,Multiple Choice,Geography,Hard
Q11,S68,865,129.6,59,6.3,Essay,Literature,Easy
Q12,S20,863,11.53,1,1.1,Multiple Choice,History,Medium
Q13,S91,743,133.3,20,2.7,Short Answer,Literature,Hard
Q14,S22,682,98.29,73,6.6,Essay,Math,Medium
Q15,S33,348,139.38,72,7.0,Multiple Choice,History,Medium
Q16,S50,119,121.23,85,9.3,Multiple Choice,Math,Easy
Q17,S49,738,70.53,85,7.7,Essay,Literature,Medium
Q18,S53,946,131.13,79,8.0,Essay,History,Easy
Q19,S13,901,104.01,28,2.8,Essay,History,Hard
Q20,S49,916,129.27,61,5.7,Essay,History,Hard
Q21,S21,893,172.93,52,4.8,Essay,Science,Hard
Q22,S100,391,9.55,41,4.3,Short Answer,Math,Hard
Q23,S58,392,125.38,61,6.9,Multiple Choice,Geography,Medium
Q24,S38,982,79.48,3,0.4,Multiple Choice,Science,Hard
Q25,S99,351,125.25,90,9.4,Short Answer,History,Hard
Q26,S70,689,154.43,34,3.5,Essay,Science,Easy
Q27,S20,750,123.55,96,9.4,Multiple Choice,History,Medium
Q28,S5,298,168.82,17,1.8,Essay,History,Medium
Q29,S39,231,119.99,60,5.6,Essay,History,Medium
Q30,S71,464,150.35,47,4.0,Multiple Choice,Math,Easy
Q31,S52,838,122.14,50,4.1,Short Answer,History,Medium
Q32,S35,155,3.18,67,7.1,Short Answer,History,Easy
Q33,S48,868,176.55,47,3.8,Multiple Choice,History,Easy
Q34,S20,244,67.63,82,8.5,Short Answer,History,Easy
Q35,S54,544,43.58,95,8.5,Short Answer,Literature,Easy
Q36,S96,278,135.27,14,0.7,Multiple Choice,History,Easy
Q37,S28,778,103.59,31,2.3,Short Answer,Math,Medium
Q38,S97,118,19.66,47,4.7,Short Answer,Literature,Easy
Q39,S11,551,29.84,26,2.6,Short Answer,Math,Hard
Q40,S68,990,24.19,69,7.2,Multiple Choice,Math,Medium
Q41,S96,325,135.18,99,9.5,Multiple Choice,Literature,Medium
Q42,S85,405,52.15,0,0.2,Short Answer,Literature,Medium
Q43,S21,34,177.52,50,4.6,Short Answer,Science,Medium
Q44,S4,854,101.11,1,0.0,Multiple Choice,Literature,Hard
Q45,S80,68,163.12,21,2.2,Essay,Literature,Easy
Q46,S2,315,93.8,31,2.6,Short Answer,Math,Hard
Q47,S56,634,141.64,94,8.6,Multiple Choice,Literature,Easy
Q48,S48,73,25.72,100,10.7,Multiple Choice,History,Easy
Q49,S58,261,31.67,25,1.7,Essay,Geography,Medium
Q50,S27,519,18.17,0,-1.0,Essay,Science,Easy
Q1,S36,170,49.11,32,2.6,Short Answer,History,Easy
Q2,S40,522,10.85,71,6.6,Short Answer,Math,Easy
Q3,S13,798,72.76,28,3.5,Multiple Choice,History,Hard
Q4,S93,966,126.74,69,7.5,Multiple Choice,History,Easy
Q5,S20,410,15.22,0,0.9,Essay,Literature,Easy
Q6,S56,481,54.52,21,1.3,Short Answer,Geography,Medium
Q7,S60,305,160.66,79,8.6,Short Answer,History,Medium
Q8,S84,92,179.92,31,3.3,Essay,Science,Medium
Q9,S14,838,116.05,97,8.8,Multiple Choice,Math,Easy
Q10,S78,235,160.53,9,0.9,Essay,Science,Medium
Q11,S21,890,25.23,56,5.1,Short Answer,Geography,Hard
Q12,S54,905,48.02,86,9.0,Multiple Choice,History,Hard
Q13,S93,354,155.15,99,10.7,Multiple Choice,Science,Easy
Q14,S23,202,154.88,69,6.8,Multiple Choice,Geography,Medium
Q15,S50,851,145.43,93,8.9,Short Answer,Math,Easy
Q16,S10,330,88.4,49,4.5,Short Answer,Literature,Easy
Q17,S80,551,167.39,22,1.8,Essay,Geography,Easy
Q18,S10,715,128.57,57,5.1,Short Answer,Math,Hard
Q19,S33,772,156.4,52,5.2,Multiple Choice,Math,Easy
Q20,S68,19,141.23,32,3.5,Short Answer,Geography,Hard
Q21,S45,478,121.09,63,6.2,Short Answer,Science,Easy
Q22,S36,726,16.99,35,2.9,Essay,Literature,Easy
Q23,S97,967,138.56,52,4.6,Short Answer,History,Hard
Q24,S98,418,152.28,82,7.8,Essay,Math,Medium
Q25,S93,109,119.1,47,5.5,Essay,Science,Easy
Q26,S26,277,169.91,73,7.8,Multiple Choice,Geography,Medium
Q27,S82,186,24.48,29,3.6,Essay,Geography,Hard
Q28,S22,886,83.53,20,1.9,Multiple Choice,Science,Easy
Q29,S54,876,64.52,76,7.9,Essay,Math,Hard
Q30,S7,406,29.54,19,2.4,Multiple Choice,Literature,Medium
Q31,S58,269,160.54,34,3.2,Multiple Choice,Math,Hard
Q32,S42,369,134.26,63,5.5,Essay,History,Hard
Q33,S41,163,48.35,40,3.7,Essay,Geography,Medium
Q34,S45,751,114.28,46,5.2,Essay,History,Easy
Q35,S88,455,123.21,40,3.3,Short Answer,History,Medium
Q36,S72,910,97.85,82,7.4,Short Answer,Literature,Hard
Q37,S67,10,167.35,5,-0.2,Multiple Choice,Literature,Medium
Q38,S99,277,166.92,0,0.7,Multiple Choice,Science,Medium
Q39,S54,476,45.61,29,3.3,Essay,History,Easy
Q40,S13,463,151.41,80,8.5,Multiple Choice,Literature,Medium
Q41,S53,548,78.92,22,2.8,Multiple Choice,History,Easy
Q42,S97,263,32.8,13,1.8,Multiple Choice,Science,Medium
Q43,S30,447,83.02,5,1.3,Short Answer,Geography,Hard
Q44,S44,590,1.71,91,9.5,Short Answer,Science,Hard
Q45,S80,668,150.99,7,0.9,Short Answer,Math,Hard
Q46,S54,420,104.24,31,2.4,Multiple Choice,History,Easy
Q47,S42,448,140.67,46,3.7,Short Answer,History,Hard
Q48,S81,592,128.2,44,4.3,Short Answer,Math,Hard
Q49,S38,220,158.93,40,3.9,Multiple Choice,Math,Hard
Q50,S33,275,98.24,10,0.0,Multiple Choice,History,Medium
Q1,S91,557,102.67,53,5.3,Multiple Choice,History,Medium
Q2,S55,413,60.58,77,6.7,Multiple Choice,Literature,Hard
Q3,S50,628,98.55,0,0.2,Essay,Geography,Hard
Q4,S78,44,153.93,68,6.7,Short Answer,History,Hard
Q5,S2,242,144.16,13,2.2,Multiple Choice,History,Hard
Q6,S57,810,19.94,37,3.4,Essay,Geography,Easy
Q7,S86,788,117.9,47,5.5,Essay,Math,Medium
Q8,S48,320,54.9,8,0.8,Multiple Choice,Geography,Medium
Q9,S49,968,174.96,60,5.0,Short Answer,Literature,Hard
Q10,S88,281,127.12,96,9.0,Multiple Choice,Science,Medium
Q11,S36,899,119.37,97,9.9,Multiple Choice,Science,Hard
Q12,S85,742,160.08,17,1.1,Essay,Science,Medium
Q13,S2,843,160.86,72,7.8,Short Answer,History,Medium
Q14,S73,449,4.85,30,2.6,Short Answer,Geography,Easy
Q15,S72,375,99.07,45,5.0,Multiple Choice,Science,Hard
Q16,S26,519,34.97,83,7.6,Multiple Choice,Geography,Medium
Q17,S73,40,168.31,31,2.7,Essay,Science,Medium
